,relation_id,case_lawyer,case,lawyer,case_id,lawyer_id
23281,rcase_lawyer_46172,"('5df4f944ab936e461496e516', '衣振军')",5df4f944ab936e461496e516,衣振军,case_38181,lawyer_6068
23282,rcase_lawyer_46173,"('5df4f944ab936e461496e516', '柳宇涵')",5df4f944ab936e461496e516,柳宇涵,case_38181,lawyer_6069
23283,rcase_lawyer_46174,"('5df56d6dab936e461498ae67', '郭康')",5df56d6dab936e461498ae67,郭康,case_38182,lawyer_5725
23284,rcase_lawyer_46175,"('5df56d6dab936e461498ae67', '关立君')",5df56d6dab936e461498ae67,关立君,case_38182,lawyer_5780
23285,rcase_lawyer_46176,"('5e24534547825900472d03ae', '郭康')",5e24534547825900472d03ae,郭康,case_38183,lawyer_5725
23286,rcase_lawyer_46177,"('5e24534547825900472d03ae', '关立君')",5e24534547825900472d03ae,关立君,case_38183,lawyer_5780
23287,rcase_lawyer_46178,"('5ece21faa377db0347eec96c', '王升')",5ece21faa377db0347eec96c,王升,case_38184,lawyer_1608
23288,rcase_lawyer_46179,"('5e24532947825900472d012c', '郭康')",5e24532947825900472d012c,郭康,case_38185,lawyer_5725
23289,rcase_lawyer_46180,"('5e24532947825900472d012c', '关立君')",5e24532947825900472d012c,关立君,case_38185,lawyer_5780
23290,rcase_lawyer_46182,"('5ee074af3edbe71b2f7e6112', '郭康')",5ee074af3edbe71b2f7e6112,郭康,case_38187,lawyer_5725
23291,rcase_lawyer_46183,"('5ee074af3edbe71b2f7e6112', '关立君')",5ee074af3edbe71b2f7e6112,关立君,case_38187,lawyer_5780
23292,rcase_lawyer_46184,"('5df56d39ab936e461498acac', '郭康')",5df56d39ab936e461498acac,郭康,case_38188,lawyer_5725
23293,rcase_lawyer_46185,"('5df56d39ab936e461498acac', '关立君')",5df56d39ab936e461498acac,关立君,case_38188,lawyer_5780
23294,rcase_lawyer_46190,"('5e2452f547825900472cfae8', '郭康')",5e2452f547825900472cfae8,郭康,case_38193,lawyer_5725
23295,rcase_lawyer_46191,"('5e2452f547825900472cfae8', '关立君')",5e2452f547825900472cfae8,关立君,case_38193,lawyer_5780
23296,rcase_lawyer_46192,"('5ee0756b3edbe71b2f81275e', '郭康')",5ee0756b3edbe71b2f81275e,郭康,case_38194,lawyer_5725
23297,rcase_lawyer_46193,"('5ee0756b3edbe71b2f81275e', '关立君')",5ee0756b3edbe71b2f81275e,关立君,case_38194,lawyer_5780
23298,rcase_lawyer_46194,"('5ee078943edbe71b2f8d013e', '郭康')",5ee078943edbe71b2f8d013e,郭康,case_38195,lawyer_5725
23299,rcase_lawyer_46195,"('5ee078943edbe71b2f8d013e', '关立君')",5ee078943edbe71b2f8d013e,关立君,case_38195,lawyer_5780
23300,rcase_lawyer_46197,"('5df56d43ab936e461498ad10', '郭康')",5df56d43ab936e461498ad10,郭康,case_38197,lawyer_5725
23301,rcase_lawyer_46198,"('5df56d43ab936e461498ad10', '关立君')",5df56d43ab936e461498ad10,关立君,case_38197,lawyer_5780
23302,rcase_lawyer_46199,"('5e24532c47825900472d015d', '郭康')",5e24532c47825900472d015d,郭康,case_38198,lawyer_5725
23303,rcase_lawyer_46200,"('5e24532c47825900472d015d', '关立君')",5e24532c47825900472d015d,关立君,case_38198,lawyer_5780
23304,rcase_lawyer_46201,"('5ee07d223edbe71b2f9d2929', '郭康')",5ee07d223edbe71b2f9d2929,郭康,case_38199,lawyer_5725
23305,rcase_lawyer_46202,"('5ee07d223edbe71b2f9d2929', '关立君')",5ee07d223edbe71b2f9d2929,关立君,case_38199,lawyer_5780
23306,rcase_lawyer_46203,"('5df563b8ab936e4614986c5d', '郭康')",5df563b8ab936e4614986c5d,郭康,case_38200,lawyer_5725
23307,rcase_lawyer_46204,"('5df563b8ab936e4614986c5d', '关立君')",5df563b8ab936e4614986c5d,关立君,case_38200,lawyer_5780
23308,rcase_lawyer_46207,"('5ee071c13edbe71b2f739425', '郭康')",5ee071c13edbe71b2f739425,郭康,case_38203,lawyer_5725
23309,rcase_lawyer_46208,"('5ee071c13edbe71b2f739425', '关立君')",5ee071c13edbe71b2f739425,关立君,case_38203,lawyer_5780
23310,rcase_lawyer_46209,"('5e24531047825900472cfe88', '郭康')",5e24531047825900472cfe88,郭康,case_38204,lawyer_5725
23311,rcase_lawyer_46210,"('5e24531047825900472cfe88', '关立君')",5e24531047825900472cfe88,关立君,case_38204,lawyer_5780
23312,rcase_lawyer_46211,"('5e2452f347825900472cfab0', '郭康')",5e2452f347825900472cfab0,郭康,case_38205,lawyer_5725
23313,rcase_lawyer_46212,"('5e2452f347825900472cfab0', '关立君')",5e2452f347825900472cfab0,关立君,case_38205,lawyer_5780
23314,rcase_lawyer_46213,"('5df56d35ab936e461498ac8a', '郭康')",5df56d35ab936e461498ac8a,郭康,case_38206,lawyer_5725
23315,rcase_lawyer_46214,"('5df56d35ab936e461498ac8a', '关立君')",5df56d35ab936e461498ac8a,关立君,case_38206,lawyer_5780
23316,rcase_lawyer_46217,"('5e24528a47825900472ceeca', '郭康')",5e24528a47825900472ceeca,郭康,case_38209,lawyer_5725
23317,rcase_lawyer_46218,"('5e24528a47825900472ceeca', '关立君')",5e24528a47825900472ceeca,关立君,case_38209,lawyer_5780
23318,rcase_lawyer_46219,"('5e24525147825900472ce8cf', '郭康')",5e24525147825900472ce8cf,郭康,case_38210,lawyer_5725
23319,rcase_lawyer_46220,"('5e24525147825900472ce8cf', '关立君')",5e24525147825900472ce8cf,关立君,case_38210,lawyer_5780
23320,rcase_lawyer_46221,"('5df3ad5bab936e46148ea86c', '周凯')",5df3ad5bab936e46148ea86c,周凯,case_38211,lawyer_2189
23321,rcase_lawyer_46222,"('5e24529047825900472cef4d', '郭康')",5e24529047825900472cef4d,郭康,case_38212,lawyer_5725
23322,rcase_lawyer_46223,"('5e24529047825900472cef4d', '关立君')",5e24529047825900472cef4d,关立君,case_38212,lawyer_5780
23323,rcase_lawyer_46224,"('5ece5b1ca1e1ba2d6999a98a', '杨辉')",5ece5b1ca1e1ba2d6999a98a,杨辉,case_38213,lawyer_223
23324,rcase_lawyer_46227,"('5e24524547825900472ce7a6', '郭康')",5e24524547825900472ce7a6,郭康,case_38216,lawyer_5725
23325,rcase_lawyer_46228,"('5e24524547825900472ce7a6', '关立君')",5e24524547825900472ce7a6,关立君,case_38216,lawyer_5780
23326,rcase_lawyer_46229,"('5ec937f83cdef0087ef2e75a', '姚进峰')",5ec937f83cdef0087ef2e75a,姚进峰,case_38217,lawyer_6070
23327,rcase_lawyer_46230,"('5ec937f83cdef0087ef2e75a', '李祎')",5ec937f83cdef0087ef2e75a,李祎,case_38217,lawyer_6071
23328,rcase_lawyer_46231,"('5e2452da47825900472cf7e8', '郭康')",5e2452da47825900472cf7e8,郭康,case_38218,lawyer_5725
23329,rcase_lawyer_46232,"('5e2452da47825900472cf7e8', '关立君')",5e2452da47825900472cf7e8,关立君,case_38218,lawyer_5780
23330,rcase_lawyer_46234,"('5df56d3cab936e461498acd3', '郭康')",5df56d3cab936e461498acd3,郭康,case_38220,lawyer_5725
23331,rcase_lawyer_46235,"('5df56d3cab936e461498acd3', '关立君')",5df56d3cab936e461498acd3,关立君,case_38220,lawyer_5780
23332,rcase_lawyer_46236,"('5e24534847825900472d040a', '郭康')",5e24534847825900472d040a,郭康,case_38221,lawyer_5725
23333,rcase_lawyer_46237,"('5e24534847825900472d040a', '关立君')",5e24534847825900472d040a,关立君,case_38221,lawyer_5780
23334,rcase_lawyer_46238,"('5ee077933edbe71b2f89332b', '郭康')",5ee077933edbe71b2f89332b,郭康,case_38222,lawyer_5725
23335,rcase_lawyer_46239,"('5ee077933edbe71b2f89332b', '关立君')",5ee077933edbe71b2f89332b,关立君,case_38222,lawyer_5780
23336,rcase_lawyer_46241,"('5ee074743edbe71b2f7d7807', '郭康')",5ee074743edbe71b2f7d7807,郭康,case_38224,lawyer_5725
23337,rcase_lawyer_46242,"('5ee074743edbe71b2f7d7807', '关立君')",5ee074743edbe71b2f7d7807,关立君,case_38224,lawyer_5780
23338,rcase_lawyer_46246,"('5e24535c47825900472d063d', '郭康')",5e24535c47825900472d063d,郭康,case_38228,lawyer_5725
23339,rcase_lawyer_46247,"('5e24535c47825900472d063d', '关立君')",5e24535c47825900472d063d,关立君,case_38228,lawyer_5780
23340,rcase_lawyer_46252,"('5df56d64ab936e461498ae30', '郭康')",5df56d64ab936e461498ae30,郭康,case_38233,lawyer_5725
23341,rcase_lawyer_46253,"('5df56d64ab936e461498ae30', '关立君')",5df56d64ab936e461498ae30,关立君,case_38233,lawyer_5780
23342,rcase_lawyer_46254,"('5e24523a47825900472ce5d9', '郭康')",5e24523a47825900472ce5d9,郭康,case_38234,lawyer_5725
23343,rcase_lawyer_46255,"('5e24523a47825900472ce5d9', '关立君')",5e24523a47825900472ce5d9,关立君,case_38234,lawyer_5780
23344,rcase_lawyer_46256,"('5e24435347825900472b210e', '贺红军')",5e24435347825900472b210e,贺红军,case_38235,lawyer_6072
23345,rcase_lawyer_46257,"('5e24435347825900472b210e', '李明慧')",5e24435347825900472b210e,李明慧,case_38235,lawyer_6073
23346,rcase_lawyer_46260,"('5ece5b44a1e1ba2d699a465e', '万方')",5ece5b44a1e1ba2d699a465e,万方,case_38238,lawyer_6074
23347,rcase_lawyer_46261,"('5ece5b44a1e1ba2d699a465e', '邓耀')",5ece5b44a1e1ba2d699a465e,邓耀,case_38238,lawyer_6075
23348,rcase_lawyer_46262,"('5e2452c247825900472cf541', '郭康')",5e2452c247825900472cf541,郭康,case_38239,lawyer_5725
23349,rcase_lawyer_46263,"('5e2452c247825900472cf541', '关立君')",5e2452c247825900472cf541,关立君,case_38239,lawyer_5780
23350,rcase_lawyer_46264,"('5df55b03ab936e4614982eb0', '郭康')",5df55b03ab936e4614982eb0,郭康,case_38240,lawyer_5725
23351,rcase_lawyer_46265,"('5df55b03ab936e4614982eb0', '关立君')",5df55b03ab936e4614982eb0,关立君,case_38240,lawyer_5780
23352,rcase_lawyer_46266,"('5ece5b8ca1e1ba2d699b90ac', '胡昕雯')",5ece5b8ca1e1ba2d699b90ac,胡昕雯,case_38241,lawyer_6063
23353,rcase_lawyer_46267,"('5ece5b8ca1e1ba2d699b90ac', '杨钧')",5ece5b8ca1e1ba2d699b90ac,杨钧,case_38241,lawyer_5534
23354,rcase_lawyer_46268,"('5df56c91ab936e461498a97c', '郭康')",5df56c91ab936e461498a97c,郭康,case_38242,lawyer_5725
23355,rcase_lawyer_46269,"('5df56c91ab936e461498a97c', '关立君')",5df56c91ab936e461498a97c,关立君,case_38242,lawyer_5780
23356,rcase_lawyer_46271,"('5df58025ab936e46149911f1', '郭康')",5df58025ab936e46149911f1,郭康,case_38244,lawyer_5725
